URL,Page type,Primary search intent,Secondary search intents,Primary keyword,Secondary keywords,Supporting terms,Main entities,Entity relationships,Search journey stage,H1,Proposed title tag,Meta description,Target word count,Actual word count,Schema type,Parent hub,Internal links in,Internal links out,Official sources,Image requirement,Update frequency,Indexation status
/one-per-household-rule/,pillar,one Lifeline per household,"Household definition, roommates, shelters, shared expenses, worksheets, and duplicate-benefit prevention.",one Lifeline per household,shared income; shared expenses; economic household; roommates; household worksheet,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; shared income; shared expenses,"Household definition, roommates, shelters, shared expenses, worksheets, and duplicate-benefit prevention.",Discover,One Lifeline Benefit per Household Rule,One Lifeline Benefit per Household Rule | AccessPath Guide,"Only one Lifeline discount is generally allowed for each economic household, not automatically one per street address.",1800,1861,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/what-is-a-household/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/lifeline-recertification/,guide,Lifeline recertification,"Annual review, notices, 60-day response window, evidence, and loss-of-benefit prevention.",Lifeline recertification,annual eligibility review; official notice; 60-day response period; supporting proof; continued service,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; annual eligibility review; official notice,"Annual review, notices, 60-day response window, evidence, and loss-of-benefit prevention.",Evaluate or act,Lifeline Recertification Guide,Lifeline Recertification Guide | AccessPath Guide,USAC may automatically confirm eligibility or ask the subscriber to recertify within a stated response period.,1300,1793,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/get-started/recertify/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/lifeline-service-requirements/,guide,Lifeline service requirements,"Usage, activation, notices, non-use de-enrollment, transfers, and provider communication.",Lifeline service requirements,activation; regular use; 30-day usage expectation; provider notice; de-enrollment,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; activation; regular use,"Usage, activation, notices, non-use de-enrollment, transfers, and provider communication.",Evaluate or act,Lifeline Service Usage and Enrollment Requirements,Lifeline Service Usage and Enrollment Requirements | AccessPath Guide,"No-cost Lifeline service must be used regularly, and subscribers must keep eligibility and contact details current.",1300,1817,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/device-offers-explained/,pillar,Lifeline tablet offers,"Inventory, models, fees, refurbished devices, shipping, returns, activation, and offer changes.",Lifeline tablet offers,provider promotion; inventory; model substitution; fees; return and activation terms,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; provider promotion; inventory,"Inventory, models, fees, refurbished devices, shipping, returns, activation, and offer changes.",Discover,Lifeline Device Offers Explained,Lifeline Device Offers Explained | AccessPath Guide,"A phone or tablet promotion is offered by a participating company under its current terms, not guaranteed by Lifeline itself.",1800,1831,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/companies-near-me/; https://www.fcc.gov/acp,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/tablet-vs-phone-benefits/,guide,Lifeline tablet vs phone,Practical comparison without promising a particular device or plan.,Lifeline tablet vs phone,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,Practical comparison without promising a particular device or plan.,Evaluate or act,Tablet vs Phone for Lifeline Service,Tablet vs Phone for Lifeline Service | AccessPath Guide,"The better choice depends on portability, calling needs, coverage, accessibility, data use, and the provider plan attached to the device.",1300,1837,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/companies-near-me/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/lifeline-scams/,pillar,free tablet scams,"Red flags, safe verification, data protection, payment cautions, and reporting.",free tablet scams,approval promises; false urgency; insecure uploads; unrelated redirects; hidden charges,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; approval promises; false urgency,"Red flags, safe verification, data protection, payment cautions, and reporting.",Discover,Lifeline and Free Tablet Scam Warning Guide,Lifeline and Free Tablet Scam Warning Guide | AccessPath Guide,"Avoid websites or callers that guarantee approval, demand sensitive documents through insecure channels, or create false urgency.",1800,1831,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/resources/,hub,Lifeline resources,Source-first resource hub with printable preparation tools and plain-language explanations.,Lifeline resources,FCC; USAC; Lifeline Support; state agencies; official provider terms,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; FCC; USAC,Source-first resource hub with printable preparation tools and plain-language explanations.,Evaluate or act,Official Lifeline Resources and Checklists,Official Lifeline Resources and Checklists | AccessPath Guide,"A curated directory of official eligibility, document, application, household, provider, recertification, and consumer-help resources.",1400,1766,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/,bloghub,Lifeline blog,"Editorial archive without thin category, tag, author, or pagination pages.",Lifeline blog,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,"Editorial archive without thin category, tag, author, or pagination pages.",Evaluate or act,Lifeline Learning Center,Lifeline Learning Center | AccessPath Guide,"Detailed articles answer common questions about eligibility, documents, providers, recertification, and device promotions.",1100,1268,WebPage,/,0,10,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/about/,trust,about AccessPath Guide,"Publisher purpose, limits, independence, funding disclosures, and contact route.",about AccessPath Guide,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,"Publisher purpose, limits, independence, funding disclosures, and contact route.",Evaluate or act,About AccessPath Guide,About AccessPath Guide | AccessPath Guide,"AccessPath Guide is an independent editorial resource that explains Lifeline without acting as an agency, provider, or application processor.",1000,1115,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/contact-us/,contact,contact AccessPath Guide,A non-sensitive editorial contact method with clear boundaries.,contact AccessPath Guide,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,A non-sensitive editorial contact method with clear boundaries.,Evaluate or act,Contact AccessPath Guide,Contact AccessPath Guide | AccessPath Guide,"Contact the editorial team about corrections, accessibility, source updates, or general website feedback.",650,841,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/editorial-policy/,trust,editorial policy,"Writing standards, independence, provider mentions, advertising, and review cadence.",editorial policy,primary-source review; claim qualification; review date; corrections; provider neutrality,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; primary-source review; claim qualification,"Writing standards, independence, provider mentions, advertising, and review cadence.",Evaluate or act,Editorial Policy,Editorial Policy | AccessPath Guide,"Our editorial process prioritizes official sources, qualified language, clear distinctions, and useful consumer context.",1000,1046,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/fact-checking-policy/,trust,fact checking policy,"Claim logging, source hierarchy, date control, conflict handling, and verification limits.",fact checking policy,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,"Claim logging, source hierarchy, date control, conflict handling, and verification limits.",Evaluate or act,Fact-Checking Policy,Fact-Checking Policy | AccessPath Guide,Time-sensitive Lifeline facts are checked against primary sources and assigned a scheduled review date.,1000,1077,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/corrections-policy/,trust,corrections policy,"Submission, assessment, correction labels, propagation, and record keeping.",corrections policy,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,"Submission, assessment, correction labels, propagation, and record keeping.",Evaluate or act,Corrections Policy,Corrections Policy | AccessPath Guide,"Material errors are corrected transparently, dated, and reviewed across every page that relies on the affected claim.",1000,1019,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/privacy-policy/,legal,privacy policy,"Actual data behavior, local storage, email, external links, optional analytics, and security limits.",privacy policy,no sensitive document collection; browser-only tools; external links; email handling; optional analytics,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; no sensitive document collection; browser-only tools,"Actual data behavior, local storage, email, external links, optional analytics, and security limits.",Evaluate or act,Privacy Policy,Privacy Policy | AccessPath Guide,This static website does not collect benefit documents or run analytics by default; local tools remain in the visitor browser.,900,1136,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/disclaimer/,legal,Lifeline disclaimer,"Independence, no guarantee, provider variation, source limits, and user responsibility.",Lifeline disclaimer,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,"Independence, no guarantee, provider variation, source limits, and user responsibility.",Evaluate or act,Independent Information Disclaimer,Independent Information Disclaimer | AccessPath Guide,"This website is not affiliated with the FCC, USAC, Medicaid, SNAP, any state agency, or any Lifeline provider.",900,1040,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/terms-and-conditions/,legal,website terms,"Acceptable use, informational limits, intellectual property, external links, and changes.",website terms,official eligibility rules; clear documentation; household limits; provider-specific terms; privacy and scam prevention,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; official eligibility rules; clear documentation,"Acceptable use, informational limits, intellectual property, external links, and changes.",Evaluate or act,Terms and Conditions,Terms and Conditions | AccessPath Guide,"These terms govern use of AccessPath Guide as an informational publication, not an application or provider service.",900,1037,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/accessibility/,trust,accessibility statement,"Accessibility features, known limits, feedback, and remediation process.",accessibility statement,keyboard access; focus visibility; semantic headings; responsive tables; reduced motion,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; keyboard access; focus visibility,"Accessibility features, known limits, feedback, and remediation process.",Evaluate or act,Accessibility Statement,Accessibility Statement | AccessPath Guide,"AccessPath Guide is designed toward WCAG 2.2 AA with keyboard access, clear structure, contrast, responsive layouts, and reduced motion.",1000,1007,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/sources/,hub,Lifeline official sources,"Source directory, review dates, time-sensitive claim handling, and citation practice.",Lifeline official sources,FCC; USAC; Lifeline Support; state agencies; official provider terms,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; FCC; USAC,"Source directory, review dates, time-sensitive claim handling, and citation practice.",Evaluate or act,Primary Sources Used by AccessPath Guide,Primary Sources Used by AccessPath Guide | AccessPath Guide,"Official FCC, USAC, Lifeline Support, state, and provider pages are used according to a transparent source hierarchy.",1400,1814,WebPage,/,0,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/medicaid-lifeline-eligibility/,article,Medicaid Lifeline eligibility,"Program proof, record matching, household questions, and provider-device distinction.",Medicaid Lifeline eligibility,active Medicaid enrollment; benefit or approval letter; record matching; program-based eligibility; provider enrollment,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; active Medicaid enrollment; benefit or approval letter,"Program proof, record matching, household questions, and provider-device distinction.",Discover,How Medicaid Can Support Lifeline Eligibility,How Medicaid Can Support Lifeline Eligibility | AccessPath Guide,"Medicaid participation can establish a Lifeline eligibility pathway, but the applicant must still complete official verification and provider enrollment.",1500,1687,BlogPosting,/blog/,2,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/get-started/documents-needed/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/ebt-card-snap-proof/,article,EBT card SNAP proof Lifeline,"Why cards can fail, better documents, redaction cautions, and resubmission steps.",EBT card SNAP proof Lifeline,SNAP participation; EBT card limitations; benefit award letter; program proof; provider availability,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; SNAP participation; EBT card limitations,"Why cards can fail, better documents, redaction cautions, and resubmission steps.",Discover,Is an EBT Card Enough to Prove SNAP Participation?,Is an EBT Card Enough to Prove SNAP Participation? | AccessPath Guide,An EBT card may not show the details needed for Lifeline review; an official benefit or approval document is usually stronger evidence.,1500,1789,BlogPosting,/blog/,2,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/get-started/documents-needed/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/national-verifier-mistakes/,article,National Verifier mistakes,"Ten practical mistakes, corrections, upload quality, and status tracking.",National Verifier mistakes,identity matching; automated database check; manual document review; application status; official notice,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; identity matching; automated database check,"Ten practical mistakes, corrections, upload quality, and status tracking.",Discover,Common National Verifier Mistakes and How to Fix Them,Common National Verifier Mistakes and How to Fix Them | AccessPath Guide,"Most preventable delays involve name, address, date, document quality, duplicate household records, or unfinished follow-up tasks.",1500,1667,BlogPosting,/blog/,2,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/no-tablet-provider-available/,article,no Lifeline tablet provider,"Expand provider search, compare service first, ask precise questions, wait safely, and avoid scams.",no Lifeline tablet provider,coverage; monthly allowance; network; device terms; customer support,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; coverage; monthly allowance,"Expand provider search, compare service first, ask precise questions, wait safely, and avoid scams.",Discover,What to Do When No Tablet Provider Is Available,What to Do When No Tablet Provider Is Available | AccessPath Guide,A missing tablet offer does not mean Lifeline eligibility failed; service and device promotions are separate decisions.,1500,1722,BlogPosting,/blog/,2,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/companies-near-me/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/lifeline-service-vs-device/,article,Lifeline service vs device,"Legal and practical distinction, billing, inventory, plan attachment, and consumer expectations.",Lifeline service vs device,activation; regular use; 30-day usage expectation; provider notice; de-enrollment,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; activation; regular use,"Legal and practical distinction, billing, inventory, plan attachment, and consumer expectations.",Discover,Lifeline Service Benefits vs Device Promotions,Lifeline Service Benefits vs Device Promotions | AccessPath Guide,"The federal benefit supports eligible phone or internet service, while a device is governed by a provider’s current promotion and terms.",1500,1727,BlogPosting,/blog/,1,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/companies-near-me/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
/blog/compare-lifeline-providers-safely/,article,compare Lifeline providers safely,A repeatable seven-factor scorecard without fake rankings.,compare Lifeline providers safely,coverage; monthly allowance; network; device terms; customer support,USAC; FCC; National Verifier; household; provider terms,Lifeline; USAC; FCC; coverage; monthly allowance,A repeatable seven-factor scorecard without fake rankings.,Discover,How to Compare Lifeline Providers Safely,How to Compare Lifeline Providers Safely | AccessPath Guide,"A safe comparison starts with official availability and coverage, then examines plan allowances, support, fees, and device conditions.",1500,1726,BlogPosting,/blog/,1,0,https://www.lifelinesupport.org/how-to-qualify/; https://www.fcc.gov/lifeline-consumers; https://www.lifelinesupport.org/companies-near-me/,Original editorial illustration,Quarterly; immediate for material rule changes,"index,follow"
